term,code(s)
turning sander operator,occ2000-854
turret lathe operator,occ2000-854
turret lathe set up operator,occ2000-854
veneer joiner,occ2000-854
veneer jointer operator,occ2000-854
veneer lathe operator,occ2000-854
veneer press operator,occ2000-854
veneer slicing machine operator,occ2000-854
veneer splicer,occ2000-854
weaver ,occ2000-854
whiting machine operator,occ2000-854
wire stitcher,occ2000-854
wood borer,occ2000-854
wood boring machine operator,occ2000-854
wood carving lathe operator,occ2000-854
wood carving machine operator,occ2000-854
wood chopper,occ2000-854
wood molder,occ2000-854
wood planer,occ2000-854
machine wood sander,occ2000-854
wood turner,occ2000-854
wood turning lathe operator,occ2000-854
woodworking machine operator,occ2000-854
accordion maker,occ2000-855
airplane woodworker,occ2000-855
belly builder,occ2000-855
boat oar maker,occ2000-855
hand carver,occ2000-855
wood carver,occ2000-855
wood casket maker,occ2000-855
dry house attendant,occ2000-855
dyer ,occ2000-855
gun stock checker,occ2000-855
gun stock maker,occ2000-855
hand carver,occ2000-855
hat block maker,occ2000-855
layout worker ,occ2000-855
pattern marker ,occ2000-855
piano case maker,occ2000-855
pipe maker,occ2000-855
planer hand,occ2000-855
plywood matcher,occ2000-855
pole framer,occ2000-855
sash sticker,occ2000-855
shaper ,occ2000-855
showcase maker,occ2000-855
wood ski maker,occ2000-855
sled maker,occ2000-855
smoking pipe maker,occ2000-855
stock checker,occ2000-855
tanker,occ2000-855
tip inserter,occ2000-855
veneer drier,occ2000-855
veneer marker,occ2000-855
veneer patcher,occ2000-855
veneer taper,occ2000-855
wood carver,occ2000-855
woodworker,occ2000-855
substation operator apprentice,occ2000-860
auxiliary equipment operator ,occ2000-860
auxiliary equipment tender,occ2000-860
auxiliary operator,occ2000-860
boiler operator,occ2000-860
booster operator,occ2000-860
booster plant operator,occ2000-860
booster pump operator,occ2000-860
control board operator,occ2000-860
diesel plant operator,occ2000-860
dispatcher ,occ2000-860
load dispatcher,occ2000-860
electric operator,occ2000-860
feeder switchboard operator,occ2000-860
generator operator,occ2000-860
heater,occ2000-860
hydro operator,occ2000-860
hydro plant operator,occ2000-860
hydro station operator,occ2000-860
hydroelectric operator,occ2000-860
hydroelectric station operator,occ2000-860
voltage inspector,occ2000-860
load dispatcher,occ2000-860
nuclear reactor operator,occ2000-860
plant operator,occ2000-860
power operator,occ2000-860
power plant operator,occ2000-860
power reactor operator,occ2000-860
power station operator,occ2000-860
powerhouse attendent,occ2000-860
powerhouse operator,occ2000-860
powerhouse tender,occ2000-860
reactor operator ,occ2000-860
rectifier,occ2000-860
rectifier operator,occ2000-860
station operator,occ2000-860
station operator,occ2000-860
station tender,occ2000-860
steam turbine operator,occ2000-860
substation operator,occ2000-860
switchboard and control room operator,occ2000-860
switchboard operator,occ2000-860
turbine operator ,occ2000-860
turbine room attendant,occ2000-860
turbo electric operator,occ2000-860
turbo operator,occ2000-860
unit operator,occ2000-860
air compressor operator,occ2000-861
stationary engineer apprentice,occ2000-861
boiler fireman,occ2000-861
boiler operator,occ2000-861
boiler room operator,occ2000-861
boiler tender,occ2000-861
compressor operator,occ2000-861
boiler compressor,occ2000-861
cooling system operator,occ2000-861
cooling tower operator,occ2000-861
diesel engine operator,occ2000-861
dredge pump operator,occ2000-861
high school graduate or less engineer,occ2000-861
air compressor engineer,occ2000-861
air plant engineer,occ2000-861
blowing engineer,occ2000-861
boiler engineer,occ2000-861
breaker engineer,occ2000-861
building engineer,occ2000-861
byproduct engineer,occ2000-861
diesel stationary engineer,occ2000-861
exhauster engineer,occ2000-861
fan engine engineer,occ2000-861
heating operators of heating systems engineer,occ2000-861
maintenance engineer,occ2000-861
power house engineer,occ2000-861
pump house engineer,occ2000-861
pumping station engineer,occ2000-861
stationary engineer,occ2000-861
steam engineer,occ2000-861
watch engineer,occ2000-861
engineman,occ2000-861
exhaust worker,occ2000-861
fan runner,occ2000-861
gas engine operator,occ2000-861
heating and ventilating worker,occ2000-861
high pressure boiler operator,occ2000-861
low pressure firer,occ2000-861
marine firer,occ2000-861
plugman,occ2000-861
power operator,occ2000-861
power plant operator,occ2000-861
power station operator,occ2000-861
powerhouse attendent,occ2000-861
powerhouse operator,occ2000-861
powerhouse tender,occ2000-861
powerman,occ2000-861
pump house operator,occ2000-861
retort firer,occ2000-861
stationary boiler fireman,occ2000-861
stationary fireman,occ2000-861
steam boiler fireman,occ2000-861
steam plant operator,occ2000-861
steam turbine operator,occ2000-861
tank farm operator,occ2000-861
turbine operator ,occ2000-861
turbo electric operator,occ2000-861
turbo operator,occ2000-861
ventilation worker,occ2000-861
watch engine operator,occ2000-861
water pump operator,occ2000-861
water pumper,occ2000-861
basin tender,occ2000-862
clarifying plant operator,occ2000-862
dispatcher ,occ2000-862
radioactive waste disposal dispatcher,occ2000-862
disposal operator,occ2000-862
disposal plant operator,occ2000-862
filter tender,occ2000-862
filterer,occ2000-862
filtration operator,occ2000-862
filtration plant operator,occ2000-862
plant operator,occ2000-862
waterworks pump station operator,occ2000-862
purification operator,occ2000-862
sewage plant operator,occ2000-862
sewage treatment plant operator,occ2000-862
water treatment technician,occ2000-862
waste disposal plant operator,occ2000-862
waste treatment operator,occ2000-862
wastewater treatment plant operator,occ2000-862
water filterer,occ2000-862
water plant operator,occ2000-862
water pump operator,occ2000-862
water pumper,occ2000-862
water purifier operator,occ2000-862
water reclamation systems operator,occ2000-862
water treatment plant operator,occ2000-862
watershed tender,occ2000-862
waterworks employee,occ2000-862
waterworks operator,occ2000-862
absorption plant operator,occ2000-863
asphalt plant operator,occ2000-863
badger distiller operator,occ2000-863
batch and furnace operator,occ2000-863
batch plant operator,occ2000-863
batcher operator,occ2000-863
bulk plant operator,occ2000-863
chemical plant operator,occ2000-863
chief operator,occ2000-863
coal pipe line operator,occ2000-863
control board operator,occ2000-863
control board operator,occ2000-863
control operator,occ2000-863
denitrator,occ2000-863
dispatcher ,occ2000-863
field gauger,occ2000-863
field gauger,occ2000-863
fire tender,occ2000-863
high pressure firer,occ2000-863
forming process worker,occ2000-863
fuel distribution system operator,occ2000-863
garbage stoker,occ2000-863
gas maker,occ2000-863
gas operator,occ2000-863
gas plant operator,occ2000-863
gas producer,occ2000-863
gas treater,occ2000-863
gasoline plant operator,occ2000-863
gauger ,occ2000-863
gauger ,occ2000-863
pumper helper,occ2000-863
high pressure operator,occ2000-863
houseman ,occ2000-863
hydrogenation operator,occ2000-863
incinerator attendant,occ2000-863
incinerator operator,occ2000-863
irrigation system operator,occ2000-863
lime filter operator,occ2000-863
liquefaction plant operator,occ2000-863
load dispatcher,occ2000-863
chief operator lock tender,occ2000-863
naphtha washing system operator,occ2000-863
nitrogen operator,occ2000-863
oil gauger,occ2000-863
oil pumper,occ2000-863
oil refiner,occ2000-863
panelboard operator,occ2000-863
petroleum plant operator,occ2000-863
pharmaceutical operator,occ2000-863
plant operator pilot,occ2000-863
plant operator,occ2000-863
pressure controller,occ2000-863
pressure controller,occ2000-863
pressure controller,occ2000-863
pressure controller,occ2000-863
pressure dispatcher,occ2000-863
pump system operator,occ2000-863
pumper,occ2000-863
recovery operator,occ2000-863
refiner,occ2000-863
refinery operator,occ2000-863
refining equipment operator,occ2000-863
regasification plant operator,occ2000-863
rolley,occ2000-863
rolling attendant,occ2000-863
sand plant attendant,occ2000-863
switchboard operator,occ2000-863
tank terminal gauger,occ2000-863
tank terminal gauger,occ2000-863
terminal gauger,occ2000-863
terminal gauger,occ2000-863
tower operator,occ2000-863
utility operator,occ2000-863
wash operator,occ2000-863
water gas operator,occ2000-863
absorber operator,occ2000-864
acetone recovery worker,occ2000-864
acetylene plant operator,occ2000-864
acid bleacher,occ2000-864
acid cleaner,occ2000-864
acid concentrator,occ2000-864
acid condenser,occ2000-864
acid extractor,occ2000-864
acid maker,occ2000-864
acid operator,occ2000-864
acid patroller,occ2000-864
acid plant operator,occ2000-864
acid polymerization operator,occ2000-864
acid purifier,occ2000-864
acid recovery operator,occ2000-864
acid regenerator,occ2000-864
acid remover,occ2000-864
acid retort operator,occ2000-864
acid tender,occ2000-864
acid treater,occ2000-864
almond blancher operator,occ2000-864
amalgamator,occ2000-864
ammonia distiller,occ2000-864
ammonia nitrate operator,occ2000-864
ammonia still operator,occ2000-864
brewer apprentice,occ2000-864
brewmaster assistant,occ2000-864
ball mill operator,occ2000-864
barley steeper,occ2000-864
batch still operator,occ2000-864
bath mix operator,occ2000-864
beer cooler,occ2000-864
beer maker,occ2000-864
beer runner,occ2000-864
machine binder stripper,occ2000-864
black pickler,occ2000-864
lard bleacher,occ2000-864
blow down operator,occ2000-864
boiling tub operator,occ2000-864
bolter,occ2000-864
bone cooking operator,occ2000-864
bottom precipitator operator,occ2000-864
brewer,occ2000-864
brewmaster,occ2000-864
brine tank separator operator,occ2000-864
burner operator,occ2000-864
butadiene convertor operator,occ2000-864
butter liquefier,occ2000-864
butter maker,occ2000-864
c d reactor operator,occ2000-864
c d still operator,occ2000-864
c d stripper,occ2000-864
caramel coloring operator,occ2000-864
carbonation equipment operator,occ2000-864
carbonation equipment tender,occ2000-864
carbonator,occ2000-864
carbonizer,occ2000-864
cat cracker operator,occ2000-864
catalyst operator ,occ2000-864
catalyst recovery operator,occ2000-864
catalyst unit operator,occ2000-864
catalytic converter operator,occ2000-864
caustic liquor maker,occ2000-864
caustic operator,occ2000-864
caustic plant worker,occ2000-864
caustic preparer,occ2000-864
caustic purification operator,occ2000-864
caustic room operator,occ2000-864
causticiser,occ2000-864
cell operator,occ2000-864
cell tender,occ2000-864
cellar worker,occ2000-864
centrifugal drier operator,occ2000-864
centrifugal machine tender,occ2000-864
centrifugal operator,occ2000-864
centrifugal station operator,occ2000-864
centrifuge operator,occ2000-864
centrifuge separator operator,occ2000-864
centrifuge separator tender,occ2000-864
chamber walker,occ2000-864
chamber worker,occ2000-864
char filter operator,occ2000-864
char filter tank tender,occ2000-864
chemical compounder,occ2000-864
chemical operator,occ2000-864
chemical process operator,occ2000-864
chemical tank worker,occ2000-864
chemical treatment operator,occ2000-864
chemical unit operator,occ2000-864
cherry pitter,occ2000-864
chlorinator,occ2000-864
chlorinator operator,occ2000-864
chlorine cells operator,occ2000-864
chlorine operator,occ2000-864
cider maker,occ2000-864
cider press operator,occ2000-864
clarifier,occ2000-864
classifier operator,occ2000-864
clay plant treater,occ2000-864
coagulating bath operator,occ2000-864
coagulating operator,occ2000-864
coal washer,occ2000-864
cocoa bean cleaner,occ2000-864
cocoa butter filter operator,occ2000-864
cocoa press operator,occ2000-864
condenser tube tender,occ2000-864
cone runner,occ2000-864
cone tender,occ2000-864
control board operator,occ2000-864
cracking still operator,occ2000-864
cracking unit operator,occ2000-864
cream ripener,occ2000-864
cream separator operator,occ2000-864
crude oil treater,occ2000-864
crystalizer tender,occ2000-864
curing bin operator,occ2000-864
dairy processing equipment operator,occ2000-864
de-alcholizer,occ2000-864
de-ionizer operator,occ2000-864
decker operator,occ2000-864
dehydration plant operator,occ2000-864
dehydration unit operator,occ2000-864
dehydrator operator,occ2000-864
dehydrogenation converter operator,occ2000-864
dehydrogenation operator,occ2000-864
deodorizer,occ2000-864
deodorizer operator,occ2000-864
desulphuring operator,occ2000-864
desulphurizer operator,occ2000-864
dethistler operator,occ2000-864
devulcanizer loader,occ2000-864
devulcanizer operator,occ2000-864
devulcanizer tender,occ2000-864
dewaterer operator,occ2000-864
disintegrator operator,occ2000-864
dissolver operator,occ2000-864
distillation operator,occ2000-864
distiller,occ2000-864
distillery worker,occ2000-864
dorr operator,occ2000-864
drug department worker,occ2000-864
dry starch operator,occ2000-864
dust collector operator,occ2000-864
egg breaking machine operator,occ2000-864
electric cell tender,occ2000-864
evaporator,occ2000-864
evaporator operator,occ2000-864
extracting machine operator,occ2000-864
fat purification worker,occ2000-864
feather separator,occ2000-864
fermentation operator,occ2000-864
fermenter,occ2000-864
filter machine operator,occ2000-864
filter operator,occ2000-864
filter plant operator,occ2000-864
filter press operator,occ2000-864
filter tank operator,occ2000-864
filter tank tender,occ2000-864
filteration operator,occ2000-864
filterer,occ2000-864
finisher operator,occ2000-864
flotation operator,occ2000-864
flotation tank operator,occ2000-864
flusher,occ2000-864
fruit preserver,occ2000-864
gasoline catalyst operator,occ2000-864
generator operator,occ2000-864
germination worker,occ2000-864
glaze handler,occ2000-864
gluten settling tender,occ2000-864
glycerine plant operator,occ2000-864
grain cleaner,occ2000-864
grain processor,occ2000-864
grape crusher,occ2000-864
grease refiner operator,occ2000-864
head still operator,occ2000-864
hide puller,occ2000-864
hollock maker,occ2000-864
homogenizer operator,occ2000-864
honey processor,occ2000-864
hop strainer,occ2000-864
